Category	Score	Query_File_Name	ClassificationGroup
Somatic	10.105212211608887	Primary-HBVSMC266.txt	10
EC	0.675875723361969	Primary-HCF1.txt	10
iPS	-4.632643699645996	Primary-HCF1.txt	10
ES	-6.43756628036499	Primary-HCF1.txt	10
Somatic	11.644824981689453	Primary-HCF1.txt	10
EC	0.9082720279693604	Primary-HCFaa1.txt	10
iPS	-5.803232192993164	Primary-HCFaa1.txt	10
ES	-7.232255458831787	Primary-HCFaa1.txt	10
Somatic	13.356382369995117	Primary-HCFaa1.txt	10
EC	0.08213479071855545	Primary-HDF258.txt	10
iPS	-3.698399543762207	Primary-HDF258.txt	10
ES	-4.906683921813965	Primary-HDF258.txt	10
Somatic	9.701272010803223	Primary-HDF258.txt	10
EC	0.7041192650794983	Primary-HDF259.txt	10
iPS	-5.308615207672119	Primary-HDF259.txt	10
ES	-6.518787384033203	Primary-HDF259.txt	10
Somatic	12.318610191345215	Primary-HDF259.txt	10
EC	0.05004015937447548	Primary-HDF51.txt	10
iPS	-3.9678995609283447	Primary-HDF51.txt	10
ES	-5.377962112426758	Primary-HDF51.txt	10
Somatic	10.575711250305176	Primary-HDF51.txt	10
EC	0.4965299367904663	Primary-HESMC267.txt	10
iPS	-4.368444442749023	Primary-HESMC267.txt	10
ES	-5.96152925491333	Primary-HESMC267.txt	10
Somatic	11.080354690551758	Primary-HESMC267.txt	10
EC	0.9209675788879395	Primary-HIBEpiC254.txt	10
iPS	-3.5254440307617188	Primary-HIBEpiC254.txt	10
ES	-5.056950092315674	Primary-HIBEpiC254.txt	10
Somatic	8.892157554626465	Primary-HIBEpiC254.txt	10
EC	0.7093454599380493	Primary-HPAv263.txt	10
iPS	-5.124118328094482	Primary-HPAv263.txt	10
ES	-6.775012969970703	Primary-HPAv263.txt	10
Somatic	12.435791015625	Primary-HPAv263.txt	10
EC	0.9347147345542908	Primary-HPLF260.txt	10
iPS	-5.34721040725708	Primary-HPLF260.txt	10
ES	-6.5053486824035645	Primary-HPLF260.txt	10
Somatic	12.150198936462402	Primary-HPLF260.txt	10
EC	0.9831011295318604	Primary-HRCEpiC255.txt	10
iPS	-2.324262857437134	Primary-HRCEpiC255.txt	10
ES	-3.4517910480499268	Primary-HRCEpiC255.txt	10
Somatic	6.028073310852051	Primary-HRCEpiC255.txt	10
EC	1.1000714302062988	Primary-HREpiC256.txt	10
iPS	-2.3370676040649414	Primary-HREpiC256.txt	10
ES	-3.524371862411499	Primary-HREpiC256.txt	10
Somatic	6.01830530166626	Primary-HREpiC256.txt	10
EC	1.0035120248794556	Primary-HRPTEpiC257.txt	10
iPS	-2.1263976097106934	Primary-HRPTEpiC257.txt	10
ES	-3.186500310897827	Primary-HRPTEpiC257.txt	10
Somatic	5.543626308441162	Primary-HRPTEpiC257.txt	10
EC	0.4070933759212494	Primary-HSkMC268.txt	10
iPS	-3.822408437728882	Primary-HSkMC268.txt	10
ES	-5.158475875854492	Primary-HSkMC268.txt	10
Somatic	9.777864456176758	Primary-HSkMC268.txt	10
EC	0.7056595087051392	Primary-IMR90.txt	10
iPS	-4.502182483673096	Primary-IMR90.txt	10
ES	-5.267029762268066	Primary-IMR90.txt	10
Somatic	10.28868579864502	Primary-IMR90.txt	10
EC	1.8836177587509155	Primary-KDIB2.txt	10
iPS	-3.3449161052703857	Primary-KDIB2.txt	10
ES	-4.11653470993042	Primary-KDIB2.txt	10
Somatic	6.809115409851074	Primary-KDIB2.txt	10
EC	1.891480565071106	Primary-KERA1.txt	10
iPS	-3.4109914302825928	Primary-KERA1.txt	10
ES	-4.417171001434326	Primary-KERA1.txt	10
Somatic	7.207303524017334	Primary-KERA1.txt	10
EC	0.7540017366409302	Primary-MRC5.txt	10
iPS	-4.483738899230957	Primary-MRC5.txt	10
ES	-5.261871814727783	Primary-MRC5.txt	10
Somatic	10.183154106140137	Primary-MRC5.txt	10
EC	1.866382122039795	Primary-PAE551_P13.txt	10
iPS	-3.0710043907165527	Primary-PAE551_P13.txt	10
ES	-4.478971481323242	Primary-PAE551_P13.txt	10
Somatic	6.899829864501953	Primary-PAE551_P13.txt	10
EC	0.6079138517379761	Primary-UtE1104_P11.txt	10
iPS	-5.533210277557373	Primary-UtE1104_P11.txt	10
ES	-7.988430023193359	Primary-UtE1104_P11.txt	10
Somatic	14.094114303588867	Primary-UtE1104_P11.txt	10
Category	Score	Query_File_Name	ClassificationGroup
EC	5.856199264526367	EC-1777N-Rpmet.txt	20
iPS	-7.423168659210205	EC-1777N-Rpmet.txt	20
ES	-1.2632886171340942	EC-1777N-Rpmet.txt	20
Somatic	3.9656825065612793	EC-1777N-Rpmet.txt	20
EC	5.215585708618164	EC-NCCIT-A3.txt	20
iPS	-2.3784563541412354	EC-NCCIT-A3.txt	20
ES	3.786900520324707	EC-NCCIT-A3.txt	20
Somatic	-5.39836311340332	EC-NCCIT-A3.txt	20
EC	7.825450420379639	EC-NCR-G2.txt	20
